file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00847_0070_418092_to_421500,བཙལ་ནས་རྙེད་ཀི་མི་འདུག་ན། ཨེ་ནས་ད་དངོས་ཡོད་གནས་ཚུལ་ལ་མེད་པའི་རྟགས་རེད་བ།  ,btsal nas rnyed ki mi 'dug na/_e nas da dngos yod gnas tshul la med pa'i rtags red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00847_0070_418092_to_421500.wav,STT_TT,2,74,3.408,wav16k/STT_TT00847_0070_418092_to_421500.wav,བཙལ་ནས་རྙེད་ཀི་མི་འདུག་ན། ཨེ་ནས་ད་དངོས་ཡོད་གནས་ཚུལ་ལ་མེད་པའི་རྟགས་རེད་བ།
STT_TT00847_0071_424065_to_429904,ད་དངོས་གནས་རང་བཙལ་ནས་ཞིབ་ཚགས་པོ་བཙལ་ཡོད་ན། ཨེ་ནས་དངོས་ཡོད་གནས་ཚུལ་རྙེད་ཀི་མི་འདུག་ན། ད་ང་ང་དངོས་ཡོད་གནས་ཚུལ་ལ་ཡོད་མ་རེད་ད།  ,da dngos gnas rang btsal nas zhib tshags po btsal yod na/_e nas dngos yod gnas tshul rnyed ki mi 'dug na/_da nga nga dngos yod gnas tshul la yod ma red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00847_0071_424065_to_429904.wav,STT_TT,2,124,5.839,wav16k/STT_TT00847_0071_424065_to_429904.wav,ད་དངོས་གནས་རང་བཙལ་ནས་ཞིབ་ཚགས་པོ་བཙལ་ཡོད་ན། ཨེ་ནས།དངོས་ཡོད་གནས་ཚུལ་རྙེད་ཀི་མི་འདུག་ན། ད་ང་ང་དངོས་ཡོད་གནས་ཚུལ་ལ་ཡོད་མ་རེད་ད།
STT_MV0901_0000_1001_to_9246,ངའི་པ་ལགས། ཕ་གིར་བཞུགས་ཤག། པཱ་ལགས། པཱ་ལགས། ཁྱེད་རང་ལ་ལག་རྩལ་པ་ཁྲིད་ཡོད་ད།  ,nga'i pa lags/_pha gir bzhugs shag/_pA lags/_pA lags/_khyed rang la lag rtsal pa khrid yod da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0901_0000_1001_to_9246.wav,STT_MV,2,75,8.245,wav16k/STT_MV0901_0000_1001_to_9246.wav,ངའི་པ་ལགས་ཕ་གིར་བཞུགས་ཤག པཱ་ལགས། པཱ་ལགས། ཁྱེད་རང་ལ་ལག་རྩལ་པ་ཅིག་ཁྲིད་ཡོད་ད།
STT_MV0901_0121_749814_to_756494,ཁྱིམ་ཚང་སྐྱོང་པར་དཀའ་ལས་ཡོད་རེད་ད། འདི་གས་མ་གཏོགས་ཡོད་མ་རེད་པེ། འདི་ཉུང་ཉུང་མ་རེད་ད།  ,khyim tshang skyong par dka' las yod red da/_'di gas ma gtogs yod ma red pe/_'di nyung nyung ma red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0901_0121_749814_to_756494.wav,STT_MV,2,86,6.68,wav16k/STT_MV0901_0121_749814_to_756494.wav,ཁྱིམ་ཚང་སྐྱོང་པ་དཀའ་ལས་ཡོད་རེད་ད། འདི་གས་མ་གཏོགས་ཡོད་མ་རེད་པེ། འདི་ཉུང་ཉུང་མ་རེད་ད།
STT_TT00846_0319_2258125_to_2260685,ཡང་དེ་མ་ཡིན་པ། ཡང་ལུས་ཆ་ཚང་བ་ཟེར་ནས་གཞན་དག་ཅིག་འདུག་བེ།  ,yang de ma yin pa/_yang lus cha tshang ba zer nas gzhan dag cig 'dug be/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00846_0319_2258125_to_2260685.wav,STT_TT,2,57,2.56,wav16k/STT_TT00846_0319_2258125_to_2260685.wav,ཡང་དེ་མ་ཡིན་པ་ཡང་ལུས་ཆ་ཚང་བ་ཟེར་ནས། གཞན་དག་ཅིག་འདུག་བེ།
STT_MV0901_0123_763787_to_769832,འབྲུ་རིགས་རྩིང་པོ་དེ་ཚོ་འཚོ་བཅུད་ཡོད་རེད། འཚོ་བཅུད་ཨེ། འདི་གས་བཟས་བྱས་ལོ་གཅིག་འགྲོ་བྲོར་བྱེད་ཀིས།  ,'bru rigs rtsing po de tsho 'tsho bcud yod red/_'tsho bcud e/_'di gas bzas byas lo gcig 'gro bror byed kis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0901_0123_763787_to_769832.wav,STT_MV,2,99,6.045,wav16k/STT_MV0901_0123_763787_to_769832.wav,འབྲུ་རིགས་བྩིན་པོ་དེ་ཚོ་འཚོ་བཅུད་ཡོད་རེད། འཚོ་བཅུད་ཨེ། དི་གས་བཟས་བྱས་ལོ་གཅིག་འགྲོ་བྲོརས་བྱེད་ཀིས།
STT_MV0690_0073_475924_to_480070,པ་ལགས་ང་གཉིས་བར་ལ་དཀྲུག་ཤིང་བརྒྱབས་ ,pa lags nga gnyis bar la dkrug shing brgyabs _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0690_0073_475924_to_480070.wav,STT_MV,2,36,4.146,wav16k/STT_MV0690_0073_475924_to_480070.wav,པཱ་ལགས་ང་གཉིས་བར་ལ་དཀྲུག་ཤིང་རྒྱོབ།
STT_MV0690_0075_489663_to_492051,ད་ཉུང་ཙེ་གཏུང་ན་ཡོང་གི་འདུག་གེ་ ,da nyung tse gtung na yong gi 'dug ge _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0690_0075_489663_to_492051.wav,STT_MV,2,32,2.388,wav16k/STT_MV0690_0075_489663_to_492051.wav,ད་ཉུང་སི་བཏུགས་ན་ཡོང་ང་འདུག་གེ
STT_MV0690_0079_506819_to_513123,ད་རེས་གཅུང་པོར་རོགས་པ་བྱས་པ་རྩིས་བྱས་སྨན་སླི་ལ་སློབས་དང་། རང་ཡིན་ན་ ,da res gcung por rogs pa byas pa rtsis byas sman sli la slobs dang /_rang yin na _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0690_0079_506819_to_513123.wav,STT_MV,2,68,6.304,wav16k/STT_MV0690_0079_506819_to_513123.wav,ད་རེས་གཅུང་པོར་རོགས་པ་བྱས་པ་བརྩིས་བྱས་སྨན་ལིས་ལ་སློབ་ད། རང་ཡིན་ད།
STT_MV0690_0080_513123_to_523122,སྐྱེས་དམན་གཅིག་གི་ཆེད་དུ་ང་ཚོ་གྲན་ཚང་གི་མེས་པོར་རྒྱབ་གཏོད་བྱས་བྱས་བུ་སྤུན་གི་བརྩེ་དུང་ལ་སྣང་བ་གཏང་གི་ཡོད་མ་རེད། ཨ་ཙི་ངར་སྤྲོད་དང་མ་བསླབས་ན་གཡུགས་ཞོག་ ,skyes dman gcig gi ched du nga tsho gran tshang gi mes por rgyab gtod byas byas bu spun gi brtse dung la snang ba gtang gi yod ma red/_a tsi ngar sprod dang ma bslabs na g.yugs zhog _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0690_0080_513123_to_523122.wav,STT_MV,2,150,9.999,wav16k/STT_MV0690_0080_513123_to_523122.wav,སྐྱེས་དམན་གཅིག་གི་ཆེད་དུ་ང་ཚོ་གྲན་ཚང་གི་མེས་པོར་རྒྱབ་གཏོད་བྱས་བྱས་བུ་དཔོན་གི་བརྩེ་དུང་རེད་སྣང་བ་གཏང་གི་ཡོད་མ་རེད། ཨ་ཙི། ང་སྤྲོད་ད། གྨོད་ལམ་གཡུག་ཤོག
